INFORMACION MENSUAL DEL MERCADO DE CAMBIOS;;;;;;;;;;;;;;;;;;;;;;
Gerencia de Estadísticas del Sector Externo - Banco Central de la República Argentina;;;;;;;;;;;;;;;;;;;;;;
2010;14;Industria Automotriz;C; 2 ; 1 ; 12 ; 2 ; 2 ; 3 ; 3 ; 1 ; 4 ; 7 ; 3 ; 4 ;;;;;;;
2010;14;Industria de Papel, Ediciones e Impresiones;C; 3 ; 6 ; 3 ; 2 ; 3 ; 3 ; 3 ; 4 ; 3 ; 3 ; 3 ; 6 ;;;;;;;
2010;14;Industria Química, Caucho y Plástico;C; 29 ; 14 ; 13 ; 26 ; 14 ; 14 ; 40 ; 15 ; 14 ; 26 ; 22 ; 17 ;;;;;;;
2010;14;Industria Textil y Curtidos;C; 2 ; 1 ; 1 ; 0 ; 0 ; 1 ; 1 ; 0 ; 1 ; 1 ; 5 ; 2 ;;;;;;;
2010;14;Informática;C; 50 ; 39 ; 49 ; 55 ; 48 ; 54 ; 65 ; 50 ; 51 ; 69 ; 61 ; 60 ;;;;;;;
2010;14;Maquinarias y Equipos;C; 7 ; 6 ; 6 ; 5 ; 5 ; 6 ; 7 ; 9 ; 8 ; 9 ; 7 ; 10 ;;;;;;;
2010;14;Metales Comunes y Elaboración;C; 3 ; 0 ; 1 ; 5 ; 1 ; 1 ; 2 ; 3 ; 2 ; 1 ; 3 ; 5 ;;;;;;;
2010;14;Mineria;C; 2 ; 1 ; 1 ; 2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ;;;;;;;
2010;14;Oleaginosos y Cerealeros;C; 3 ; 3 ; 4 ; 1 ; 3 ; 4 ; 5 ; 2 ; 1 ; 3 ; 1 ; 3 ;;;;;;;
2010;14;Otros Industria Manufacturera;C; 6 ; 6 ; 14 ; 8 ; 12 ; 10 ; 9 ; 10 ; 8 ; 10 ; 9 ; 12 ;;;;;;;
2010;14;Otros Sector Privado no Financiero;C; 132 ; 112 ; 131 ; 131 ; 122 ; 135 ; 134 ; 125 ; 135 ; 118 ; 147 ; 168 ;;;;;;;
2010;14;Petróleo;C; 6 ; 12 ; 8 ; 5 ; 6 ; 8 ; 8 ; 8 ; 5 ; 11 ; 11 ; 7 ;;;;;;;
2010;14;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;14;Sector Público;C; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ;;;;;;;
2010;14;Seguros;C; 1 ; 1 ; 2 ; 2 ; 2 ; 1 ; 1 ; 2 ; 1 ; 1 ; 1 ; 2 ;;;;;;;
2010;14;Todos;C; 347 ; 276 ; 339 ; 317 ; 302 ; 336 ; 369 ; 316 ; 333 ; 339 ; 373 ; 429 ;;;;;;;
2010;14;Transporte;C; 14 ; 11 ; 13 ; 8 ; 12 ; 10 ; 11 ; 10 ; 10 ; 9 ; 13 ; 13 ;;;;;;;
2010;14;Turismo y Hotelería;C; 5 ; 5 ; 7 ; 5 ; 5 ; 6 ; 6 ; 8 ; 5 ; 6 ; 8 ; 8 ;;;;;;;
2010;15;Agricultura, Ganadería y Otras Actividades Primarias;C;; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;15;Agua;C;;; 0 ;;;;;;;;;;;;;;;;
2010;15;Alimentos, Bebidas y Tabaco;C;; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;; 0 ; 0 ; 0 ;;;;;;;
2010;15;Comercio;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;15;Comunicaciones;C; 1 ; 1 ; 1 ; 2 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2010;15;Construcción;C;;; 0 ;; 0 ;;;; 0 ;;;;;;;;;;
2010;15;Entretenimiento;C; 4 ; 1 ; 1 ; 1 ; 6 ; 1 ; 5 ; 2 ; 6 ; 1 ; 2 ; 2 ;;;;;;;
2010;15;Gastronomía;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;15;Industria Automotriz;C;;; 1 ;; 0 ;;;;;;;;;;;;;;
2010;15;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ;;;;;;;
2010;15;Industria Química, Caucho y Plástico;C; 0 ; 0 ; 0 ; 1 ; 1 ; 11 ; 1 ; 1 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2010;15;Industria Textil y Curtidos;C; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;15;Informática;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;15;Maquinarias y Equipos;C; 0 ; 0 ;; 0 ;; 0 ;; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2010;15;Metales Comunes y Elaboración;C;; 0 ; 0 ; 0 ; 0 ;;; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2010;15;Mineria;C;;;; 1 ;;;;;;;;;;;;;;;
2010;15;Oleaginosos y Cerealeros;C;; 0 ;;; 0 ; 0 ; 0 ;; 0 ;; 0 ; 0 ;;;;;;;
2010;15;Otros Industria Manufacturera;C; 0 ;; 0 ; 0 ;; 0 ;;;;;;;;;;;;;
2010;15;Otros Sector Privado no Financiero;C; 1 ; 1 ; 2 ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 2 ;;;;;;;
2010;15;Sector Público;C;;; 0 ;; 0 ;;; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2010;15;Todos;C; 6 ; 3 ; 5 ; 8 ; 9 ; 14 ; 9 ; 6 ; 10 ; 4 ; 6 ; 6 ;;;;;;;
2010;15;Turismo y Hotelería;C;;;;;;;;; 0 ;;;;;;;;;;
2010;16;Agricultura, Ganadería y Otras Actividades Primarias;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Alimentos, Bebidas y Tabaco;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Comercio;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Comunicaciones;C;;; 0 ;;;;; 0 ;;;;;;;;;;;
2010;16;Construcción;C; 0 ;;;; 0 ; 0 ; 0 ;;; 0 ; 0 ;;;;;;;;
2010;16;Electricidad (Generación, Transporte, Distribución);C; 2 ;;;;;; 0 ;;;;;;;;;;;;
2010;16;Entidades Financieras y Cambiarias;C;;;;;;;;;;;; 0 ;;;;;;;
2010;16;Entretenimiento;C;;;;;; 0 ;;; 0 ;;;;;;;;;;
2010;16;Industria Automotriz;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ;;;;;;;
2010;16;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Industria Química, Caucho y Plástico;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Industria Textil y Curtidos;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Informática;C;;;;;;;;; 0 ;;;;;;;;;;
2010;16;Maquinarias y Equipos;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Metales Comunes y Elaboración;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Oleaginosos y Cerealeros;C; 0 ; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Otros Industria Manufacturera;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Otros Sector Privado no Financiero;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2010;16;Petróleo;C;;; 0 ; 0 ; 0 ; 0 ;;;;; 0 ; 0 ;;;;;;;
2010;16;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;16;Sector Público;C;;;; 0 ;;; 0 ;;;;;;;;;;;;
2010;16;Seguros;C; 7 ; 9 ; 2 ; 2 ; 4 ; 11 ; 1 ; 7 ; 9 ; 1 ; 1 ; 5 ;;;;;;;
2010;16;Todos;C; 10 ; 9 ; 3 ; 4 ; 4 ; 12 ; 1 ; 8 ; 10 ; 1 ; 2 ; 7 ;;;;;;;
2010;16;Transporte;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;17;Alimentos, Bebidas y Tabaco;C;;;;;;;;;;; 0 ;;;;;;;;
2010;17;Comercio;C; 1 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;17;Comunicaciones;C; 14 ; 16 ; 19 ; 14 ; 16 ; 16 ; 19 ; 15 ; 14 ; 16 ; 13 ; 17 ;;;;;;;
2010;17;Construcción;C; -   ;;;;;;;;;;;;;;;;;;
2010;17;Entidades Financieras y Cambiarias;C;;;; 0 ;;;;; 0 ;;; 0 ;;;;;;;
2010;17;Entretenimiento;C; 1 ; 1 ; 1 ; 2 ; 1 ; 1 ; 2 ; 2 ; 2 ; 1 ; 4 ; 3 ;;;;;;;
2010;17;Industria Automotriz;C;;;;; 0 ;;;;;;;;;;;;;;
2010;17;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;17;Industria Química, Caucho y Plástico;C;;;;;; 0 ;;;;;;;;;;;;;
2010;17;Informática;C; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ;;;;;;;
2010;17;Maquinarias y Equipos;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;17;Oleaginosos y Cerealeros;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;;;;;;
2010;17;Otros Industria Manufacturera;C;;;;; 0 ;;;;;;;;;;;;;;
2010;17;Otros Sector Privado no Financiero;C; 10 ; 7 ; 10 ; 4 ; 3 ; 8 ; 5 ; 7 ; 4 ; 8 ; 3 ; 14 ;;;;;;;
2010;17;Petróleo;C; -   ;;;;;;;;;;;;;;;;;;
2010;17;Sector Público;C; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;;;;;;;;
2010;17;Todos;C; 27 ; 25 ; 31 ; 20 ; 21 ; 27 ; 26 ; 25 ; 20 ; 25 ; 22 ; 35 ;;;;;;;
2010;17;Transporte;C;;;;;;;;;; 0 ;; 0 ;;;;;;;
2010;18;Agricultura, Ganadería y Otras Actividades Primarias;C;;;;;;;;;;; 0 ;;;;;;;;
2010;18;Alimentos, Bebidas y Tabaco;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Comercio;C; 3 ; 3 ; 1 ; 6 ; 1 ; 1 ; 8 ; 1 ; 1 ; 2 ; 1 ; 5 ;;;;;;;
2010;18;Comunicaciones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2010;18;Construcción;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Entidades Financieras y Cambiarias;C; 0 ; 0 ;;;;;;;;;;;;;;;;;
2010;18;Entretenimiento;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ;; 0 ; 0 ;;;;;;;;
2010;18;Industria Automotriz;C;;;;;;;; 0 ;;;;;;;;;;;
2010;18;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Industria Química, Caucho y Plástico;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Industria Textil y Curtidos;C;; 0 ; 0 ;;;;;;;;;;;;;;;;
2010;18;Informática;C; 17 ; 18 ; 21 ; 15 ; 23 ; 19 ; 29 ; 19 ; 18 ; 21 ; 19 ; 25 ;;;;;;;
2010;18;Maquinarias y Equipos;C; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 2 ; 0 ; 1 ; 1 ;;;;;;;
2010;18;Metales Comunes y Elaboración;C;; 1 ; 2 ; 5 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1 ;;;;;;;
2010;18;Oleaginosos y Cerealeros;C;;;;;;; 0 ;;;; 0 ;;;;;;;;
2010;18;Otros Industria Manufacturera;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Otros Sector Privado no Financiero;C; 6 ; 5 ; 8 ; 7 ; 5 ; 8 ; 6 ; 6 ; 5 ; 7 ; 8 ; 9 ;;;;;;;
2010;18;Petróleo;C;;;; 0 ; 0 ;; 0 ;;;;; 0 ;;;;;;;
2010;18;Sector Público;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ;; 0 ;;;;;;;
2010;18;Seguros;C;;; 0 ;;; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Todos;C; 27 ; 28 ; 33 ; 34 ; 31 ; 29 ; 45 ; 29 ; 27 ; 30 ; 30 ; 42 ;;;;;;;
2010;18;Transporte;C; 0 ;;;;;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;18;Turismo y Hotelería;C;; 0 ; 0 ;; 0 ; 0 ; 0 ;; 0 ; -   ; 0 ;;;;;;;;
2010;21;Agricultura, Ganadería y Otras Actividades Primarias;C; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 3 ;;;;;;;
2010;21;Alimentos, Bebidas y Tabaco;C; 0 ; 0 ; 0 ; 1 ; 0 ; 2 ; 0 ; 3 ; 6 ; 1 ; 2 ; 3 ;;;;;;;
2010;21;Comercio;C; 3 ; 2 ; 3 ; 2 ; 3 ; 3 ; 4 ; 4 ; 4 ; 3 ; 4 ; 5 ;;;;;;;
2010;21;Comunicaciones;C; 1 ; 1 ; 4 ; 2 ; 2 ; 1 ; 2 ; 0 ; 0 ; 0 ; 1 ; 1 ;;;;;;;
2010;21;Construcción;C; 3 ; 1 ; 5 ; 1 ; 2 ; 1 ; 5 ; 2 ; 4 ; 2 ; 1 ; 4 ;;;;;;;
2010;21;Electricidad (Generación, Transporte, Distribución);C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Entidades Financieras y Cambiarias;C; 3 ; 2 ; 3 ; 8 ; 3 ; 3 ; 4 ; 3 ; 3 ; 3 ; 3 ; 4 ;;;;;;;
2010;21;Entretenimiento;C; 2 ; 3 ; 6 ; 1 ; 2 ; 1 ; 1 ; 2 ; 3 ; 1 ; 2 ; 1 ;;;;;;;
2010;21;Gas (Extracción, Transporte, Distribución);C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; -   ; 0 ;;;;;;;
2010;21;Gastronomía;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 1 ; 2 ;;;;;;;
2010;21;Industria Automotriz;C; 3 ; 8 ; 5 ; 2 ; 5 ; 0 ; 4 ; 4 ; 4 ; 5 ; 5 ; 4 ;;;;;;;
2010;21;Industria de Papel, Ediciones e Impresiones;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Industria Química, Caucho y Plástico;C; 4 ; 4 ; 3 ; 3 ; 4 ; 3 ; 3 ; 5 ; 3 ; 9 ; 7 ; 4 ;;;;;;;
2010;21;Industria Textil y Curtidos;C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Informática;C; 1 ; 1 ; 1 ; 1 ; 2 ; 3 ; 5 ; 2 ; 2 ; 2 ; 2 ; 2 ;;;;;;;
2010;21;Maquinarias y Equipos;C; 1 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ;;;;;;;
2010;21;Metales Comunes y Elaboración;C; 1 ; 0 ; 1 ; 1 ; 0 ; 1 ; 0 ; 0 ; 2 ; 0 ; 1 ; 0 ;;;;;;;
2010;21;Mineria;C; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Oleaginosos y Cerealeros;C; 1 ; 3 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Otros Industria Manufacturera;C; 9 ; 5 ; 7 ; 5 ; 3 ; 3 ; 3 ; 2 ; 0 ; 1 ; 1 ; 1 ;;;;;;;
2010;21;Otros Sector Privado no Financiero;C; 25 ; 28 ; 42 ; 30 ; 27 ; 75 ; 74 ; 39 ; 37 ; 36 ; 57 ; 55 ;;;;;;;
2010;21;Petróleo;C; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 2 ; 2 ;;;;;;;
2010;21;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);C; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Sector Público;C; 1 ; 5 ; 5 ; 1 ; 13 ; 1 ; 2 ; 5 ; 2 ; 1 ; 7 ; 1 ;;;;;;;
2010;21;Seguros;C; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ;;;;;;;
2010;21;Todos;C; 92 ; 95 ; 127 ; 104 ; 113 ; 151 ; 166 ; 126 ; 117 ; 107 ; 138 ; 137 ;;;;;;;
2010;21;Transporte;C; 32 ; 28 ; 36 ; 42 ; 43 ; 50 ; 51 ; 53 ; 44 ; 38 ; 38 ; 42 ;;;;;;;
2010;21;Turismo y Hotelería;C; 2 ; 3 ; 2 ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 2 ;;;;;;;
2010;22;Agricultura, Ganadería y Otras Actividades Primarias;V; 1 ; 0 ; 0 ; 1 ; 2 ; 1 ; 0 ; 1 ; 1 ; 0 ; 1 ; 1 ;;;;;;;
2010;22;Agua;V;;;;;;;;; 0 ;;;;;;;;;;
2010;22;Alimentos, Bebidas y Tabaco;V; 3 ; 2 ; 2 ; 2 ; 2 ; 2 ; 3 ; 3 ; 3 ; 1 ; 2 ; 2 ;;;;;;;
2010;22;Comercio;V; 1 ; 2 ; 1 ; 1 ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2010;22;Comunicaciones;V; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2010;22;Construcción;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ;;;;;;;
2010;22;Electricidad (Generación, Transporte, Distribución);V;; 0 ; 0 ; 1 ; 0 ; 1 ; 1 ; 1 ; 0 ; 1 ; 0 ; 0 ;;;;;;;
2010;22;Entidades Financieras y Cambiarias;V;;; 0 ;; 0 ;;; 0 ;; 0 ;; 0 ;;;;;;;
2010;22;Entretenimiento;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ;;;;;;;
2010;22;Gas (Extracción, Transporte, Distribución);V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ;;; 0 ;;;;;;;
2010;22;Gastronomía;V; 0 ; 0 ;; 0 ; 2 ;;;;;;;;;;;;;;
2010;22;Industria Automotriz;V; 6 ; 4 ; 6 ; 5 ; 7 ; 5 ; 4 ; 4 ; 5 ; 5 ; 5 ; 4 ;;;;;;;
2010;22;Industria de Papel, Ediciones e Impresiones;V; 1 ; 1 ; 2 ; 1 ; 1 ; 2 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ;;;;;;;
2010;22;Industria Química, Caucho y Plástico;V; 4 ; 4 ; 4 ; 4 ; 5 ; 3 ; 4 ; 2 ; 2 ; 4 ; 2 ; 5 ;;;;;;;
2010;22;Industria Textil y Curtidos;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;22;Informática;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;22;Maquinarias y Equipos;V; 3 ; 2 ; 4 ; 1 ; 3 ; 3 ; 4 ; 3 ; 3 ; 2 ; 2 ; 2 ;;;;;;;
2010;22;Metales Comunes y Elaboración;V; 20 ; 17 ; 22 ; 17 ; 23 ; 19 ; 14 ; 18 ; 11 ; 11 ; 11 ; 13 ;;;;;;;
2010;22;Mineria;V; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ;;;;;;;
2010;22;Oleaginosos y Cerealeros;V; 1 ; 1 ; 1 ; 3 ; 3 ; 2 ; 4 ; 6 ; 4 ; 3 ; 4 ; 1 ;;;;;;;
2010;22;Otros Industria Manufacturera;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;22;Otros Sector Privado no Financiero;V; 1 ; 1 ; 2 ; 2 ; 2 ; 3 ; 2 ; 3 ; 3 ; 2 ; 2 ; 2 ;;;;;;;
2010;22;Petróleo;V; 3 ; 4 ; 6 ; 8 ; 8 ; 7 ; 7 ; 6 ; 7 ; 9 ; 8 ; 8 ;;;;;;;
2010;22;Productos Minerales no Metálicos (Cementos, Cerámicos y Otros);V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;22;Sector Público;V; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ;;;;;;;;
2010;22;Todos;V; 97 ; 89 ; 120 ; 106 ; 117 ; 123 ; 128 ; 138 ; 138 ; 129 ; 137 ; 134 ;;;;;;;
2010;22;Transporte;V; 47 ; 45 ; 59 ; 55 ; 54 ; 66 ; 73 ; 81 ; 88 ; 78 ; 86 ; 84 ;;;;;;;
2010;22;Turismo y Hotelería;V; 4 ; 4 ; 6 ; 4 ; 3 ; 5 ; 7 ; 6 ; 7 ; 7 ; 9 ; 7 ;;;;;;;
2010;23;Agricultura, Ganadería y Otras Actividades Primarias;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Agua;V;;;;;;; 0 ;;;; 0 ;;;;;;;;
2010;23;Alimentos, Bebidas y Tabaco;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Comercio;V; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 0 ;;;;;;;
2010;23;Comunicaciones;V; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Construcción;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Electricidad (Generación, Transporte, Distribución);V;; 0 ; 0 ; 0 ;;;;; 0 ;; 0 ; 0 ;;;;;;;
2010;23;Entretenimiento;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ;;;;;;;
2010;23;Gastronomía;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Industria Automotriz;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Industria de Papel, Ediciones e Impresiones;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Industria Química, Caucho y Plástico;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Industria Textil y Curtidos;V; 0 ; -0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Informática;V; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 7 ; 8 ; 7 ; 6 ; 9 ;;;;;;;
2010;23;Maquinarias y Equipos;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Metales Comunes y Elaboración;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Mineria;V; 0 ; 0 ; 0 ; 0 ;; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Oleaginosos y Cerealeros;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
2010;23;Otros Industria Manufacturera;V; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ;;;;;;;
